future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Jul-2041	0	0	0	0	0	1088279.53287753	0	66182.7670803405	0	0	0
Aug-2041	0	0	0	0	0	1273957.72354524	0	73304.2959255733	0	0	0
Sep-2041	0	0	0	0	0	1355206.01693036	0	91928.6357217529	0	0	0
Oct-2042	0	0	0	0	0	814930.594258116	0	127348.952347834	0	0	0
Nov-2042	0	0	0	0	0	424115.334867163	0	56015.232906984	0	0	0
Dec-2042	0	0	0	0	0	1362810.10546809	0	158006.968749925	0	0	0
Jan-2042	0	0	0	0	0	4231061.3356268	0	156987.314667183	0	0	0
Feb-2042	0	0	0	0	0	1322705.71385864	0	163333.009870085	0	0	0
Mar-2042	0	0	0	0	0	6669748.18099611	0	3351332.20892931	0	0	0
Apr-2042	0	0	0	0	0	9955924.18523488	0	12501741.4354373	0	0	0
May-2042	0	0	0	0	0	5608230.16201341	0	3767782.47609413	0	0	0
Jun-2042	0	0	0	0	0	2895330.04493558	0	1289717.84682214	0	0	0
Jul-2042	0	0	0	0	0	1088279.53287753	0	66182.7670803405	0	0	0
Aug-2042	0	0	0	0	0	1273957.72354524	0	73304.2959255733	0	0	0
Sep-2042	0	0	0	0	0	1355206.01693036	0	91928.6357217529	0	0	0
Oct-2043	0	0	0	0	0	814930.594258116	0	127348.952347834	0	0	0
Nov-2043	0	0	0	0	0	424115.334867163	0	56015.232906984	0	0	0
Dec-2043	0	0	0	0	0	1362810.10546809	0	158006.968749925	0	0	0
Jan-2043	0	0	0	0	0	4231061.3356268	0	156987.314667183	0	0	0
Feb-2043	0	0	0	0	0	1322705.71385864	0	163333.009870085	0	0	0
Mar-2043	0	0	0	0	0	6669748.18099611	0	3351332.20892931	0	0	0
Apr-2043	0	0	0	0	0	9955924.18523488	0	12501741.4354373	0	0	0
