#	MODFLOW	Streamflow	Routing	(SFR)	Package													
#	Data	set	created	10/3/2021	using	MODFLOW	Pre-Processing.R											
#																		
BEGIN	OPTION																	
	DBFILE	SFR_out.dat																
END																		
-2363	51	0	0	86400	1.00E-04	50	600	1	!	NSTRM	NSS	NSFRPAR	NPARSEG	CONST	DLEAK	ISTCB1	ISTCB2	ISFROPT
1	106	96	8	55	73.01	1488.131958	4.11E-03	1	0.1									
1	106	97	8	56	62.46	1488.131958	1.00E-05	1	0.1									
1	105	97	8	57	162	1488.131958	1.00E-05	1	0.1									
1	105	98	8	58	121.72	1488.131958	1.00E-05	1	0.1									
1	104	98	8	59	92.06	1488.131958	1.00E-05	1	0.1									
1	104	99	8	60	89.28	1488.131958	1.96E-03	1	0.1									
1	105	99	8	61	39.72	1487.956909	4.98E-03	1	0.1									
1	104	99	8	62	28.88	1487.934204	7.86E-04	1	0.1									
1	104	100	8	63	202.62	1487.934204	2.63E-04	1	0.1									
1	103	101	8	64	221.85	1487.880859	2.40E-04	1	0.1									
1	102	102	8	65	157.82	1487.880859	9.10E-04	1	0.1									
1	102	103	8	66	171.12	1487.737305	8.39E-04	1	0.1									
1	102	104	8	67	20.04	1487.737305	1.00E-05	1	0.1									
1	101	104	8	68	161.93	1487.737305	1.13E-03	1	0.1									
1	101	105	8	69	157.35	1487.554565	1.16E-03	1	0.1									
1	101	106	8	70	28.82	1487.554565	1.00E-05	1	0.1									
1	100	106	8	71	194.82	1487.554565	2.26E-04	1	0.1									
1	99	107	8	72	198.47	1487.51062	2.21E-04	1	0.1									
1	99	108	8	73	25.68	1487.51062	1.00E-05	1	0.1									
1	98	108	8	74	149.93	1487.51062	1.00E-05	1	0.1									
1	125	62	9	1	93.48	1493.539551	8.37E-03	1	0.1									
1	125	63	9	2	71.36	1492.942627	8.37E-03	1	0.1									
1	126	63	9	3	109.2	1492.942627	1.00E-05	1	0.1									
1	126	64	9	4	162.41	1492.942627	2.50E-03	1	0.1									
1	127	64	9	5	16.57	1492.537354	3.14E-02	1	0.1									
1	127	65	9	6	178.9	1492.422729	1.51E-03	1	0.1									
1	127	66	9	7	78.95	1492.267456	1.97E-03	1	0.1									
1	128	66	9	8	95.17	1492.267456	1.00E-05	1	0.1									
1	128	67	9	9	160.87	1492.267456	1.00E-05	1	0.1									
1	128	68	9	10	159.48	1492.267456	1.04E-03	1	0.1									
1	128	69	9	11	152.03	1492.10083	1.10E-03	1	0.1									
1	128	70	9	12	16.85	1492.10083	1.00E-05	1	0.1									
1	129	70	9	13	177.66	1492.10083	1.00E-05	1	0.1									
1	129	71	9	14	165.3	1492.10083	1.00E-05	1	0.1									
1	129	72	9	15	192.16	1492.10083	4.74E-04	1	0.1									
1	129	73	9	16	161.55	1492.009766	1.05E-03	1	0.1									
1	129	74	9	17	164.74	1491.93042	4.82E-04	1	0.1									
1	129	75	9	18	156.51	1491.93042	1.35E-04	1	0.1									
1	129	76	9	19	95.78	1491.909302	8.11E-04	1	0.1									
1	128	76	9	20	73.45	1491.852783	2.52E-03	1	0.1									
1	128	77	9	21	143.68	1491.723999	8.96E-04	1	0.1									
1	127	77	9	22	70.04	1491.723999	1.00E-05	1	0.1									
1	127	78	9	23	276.9	1491.723999	1.00E-05	1	0.1									
1	126	78	9	24	169.16	1491.723999	1.00E-05	1	0.1									
1	126	79	9	25	164.22	1491.723999	4.01E-04	1	0.1									
1	127	79	9	26	58.19	1491.658081	4.55E-03	1	0.1									
1	127	80	9	27	171.16	1491.459229	1.47E-03	1	0.1									
1	127	81	9	28	46.65	1491.40564	1.28E-03	1	0.1									
1	126	81	9	29	165.88	1491.399414	2.41E-03	1	0.1									
1	125	81	9	30	65.97	1491.005493	5.97E-03	1	0.1									
1	125	82	9	31	81.37	1491.005493	1.28E-03	1	0.1									
1	126	82	9	32	77.97	1490.901245	1.39E-03	1	0.1									
1	125	83	9	33	184.89	1490.896973	1.00E-05	1	0.1									
1	124	83	9	34	51.37	1490.896973	1.00E-05	1	0.1									
1	124	84	9	35	113.83	1490.896973	1.14E-03	1	0.1									
1	125	84	9	36	39.4	1490.766724	9.03E-03	1	0.1									
1	125	85	9	37	18.02	1490.541016	1.25E-02	1	0.1									
1	124	85	9	38	224.43	1490.541016	1.00E-05	1	0.1									
1	124	86	9	39	38.36	1490.541016	1.00E-05	1	0.1									
1	123	86	9	40	165.91	1490.541016	1.07E-03	1	0.1									
1	122	86	9	41	64.82	1490.363647	2.74E-03	1	0.1									
1	122	87	9	42	192.88	1490.363647	1.00E-05	1	0.1									
1	122	88	9	43	62.84	1490.363647	1.00E-05	1	0.1									
1	121	88	9	44	104.72	1490.363647	1.00E-05	1	0.1									
1	121	89	9	45	118.09	1490.363647	1.47E-03	1	0.1									
1	122	89	9	46	39.77	1490.189575	4.38E-03	1	0.1									
1	122	90	9	47	44.46	1490.189575	1.00E-05	1	0.1									
1	121	90	9	48	146.18	1490.189575	1.00E-05	1	0.1									
1	121	91	9	49	154.98	1490.189575	1.00E-05	1	0.1									
1	121	92	9	50	154.28	1490.189575	1.00E-05	1	0.1									
