future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Nov-2036	0	0	0	0	0	349009.476596482	0	130878.553723681	0	0	0
Dec-2036	0	0	0	0	0	526322.790552651	0	225566.910236851	0	0	0
Jan-2036	0	0	0	0	0	636239.545926043	0	296592.871033194	0	0	0
Feb-2036	0	0	0	0	0	955638.93991044	0	257054.778140467	0	0	0
Mar-2036	0	0	0	0	0	595740.568136283	0	147104.654254882	0	0	0
Apr-2036	0	0	0	0	0	220504.255683479	0	70528.9347222894	0	0	0
May-2036	0	0	0	0	0	285181.512314521	0	28312.9846758303	0	0	0
Jun-2036	0	0	0	0	0	542930.791388298	0	58938.8470855753	0	0	0
Jul-2036	0	0	0	0	0	607369.898915619	0	115457.196313277	0	0	0
Aug-2036	0	0	0	0	0	555040.571443727	0	102114.289108342	0	0	0
Sep-2036	0	0	0	0	0	527867.72941053	0	139996.12168454	0	0	0
Oct-2037	0	0	0	0	0	645380.436972277	0	138455.318658413	0	0	0
Nov-2037	0	0	0	0	0	750825.070633294	0	150165.014126659	0	0	0
Dec-2037	0	0	0	0	0	1410361.29724543	0	283903.897497459	0	0	0
Jan-2037	0	0	0	0	0	946082.195836225	0	189216.439167246	0	0	0
Feb-2037	0	0	0	0	0	651121.762477816	0	130224.352495563	0	0	0
Mar-2037	0	0	0	0	0	647153.554016052	0	129430.710803211	0	0	0
Apr-2037	0	0	0	0	0	319550.749078116	0	64346.3965720441	0	0	0
May-2037	0	0	0	0	0	396015.465617778	0	0	0	0	0
Jun-2037	0	0	0	0	0	533986.647677677	0	0	0	0	0
Jul-2037	0	0	0	0	0	444296.622281041	0	0	0	0	0
Aug-2037	0	0	0	0	0	508633.039278895	0	0	0	0	0
Sep-2037	0	0	0	0	0	610500.166795062	0	16958.3379665295	0	0	0
Oct-2038	0	0	0	0	0	726434.172834686	0	82329.2062545978	0	0	0
Nov-2038	0	0	0	0	0	644493.140210851	0	128898.628042171	0	0	0
Dec-2038	0	0	0	0	0	1092646.60174598	0	218529.320349197	0	0	0
Jan-2038	0	0	0	0	0	829376.389208697	0	165875.27784174	0	0	0
Feb-2038	0	0	0	0	0	670959.417063181	0	134191.883412636	0	0	0
Mar-2038	0	0	0	0	0	723888.672983518	0	144777.734596704	0	0	0
Apr-2038	0	0	0	0	0	614659.728605155	0	120883.079959014	0	0	0
May-2038	0	0	0	0	0	527568.416022802	0	72768.0573824554	0	0	0
Jun-2038	0	0	0	0	0	453088.170881889	0	0	0	0	0
Jul-2038	0	0	0	0	0	363811.554778018	0	0	0	0	0
Aug-2038	0	0	0	0	0	526276.060898563	0	0	0	0	0
Sep-2038	0	0	0	0	0	718579.519447435	0	21775.1369529526	0	0	0
Oct-2039	0	0	0	0	0	702813.647531525	0	96275.842127606	0	0	0
Nov-2039	0	0	0	0	0	632406.057772908	0	130393.001602662	0	0	0
Dec-2039	0	0	0	0	0	1476403.77978637	0	295280.755957276	0	0	0
Jan-2039	0	0	0	0	0	4848727.99541554	0	231069.281872225	0	0	0
